UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
5	28
1	28
18	0
23	0
0	0
36	0
46	1
26	0
0	0
22	0
31	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	9
0	3
0	3
4	4
0	0
0	0
0	11
3	2
1	24
0	14
4	13
6	5
0	0
11	2
1	4
0	4
5	27
0	4
0	2
0	0
0	0
0	4
0	4
0	0
11	0
0	2
0	2
0	0
0	0
1	0
10	3
0	3
2	1
0	2
0	0
0	0
2	1
0	1
0	0
0	2
0	2
0	1
0	0
1	1
0	3
3	1
0	16
1	9
5	10
0	9
8	21
0	2
0	0
4	2
0	6
0	57
2	4
0	9
0	8
4	22
0	0
0	2
1	1
0	16
0	2
7	5
4	23
3	23
7	14
0	14
1	4
0	4
0	9
1	0
3	3
0	3
4	4
0	0
0	0
2	11
0	2
44	24
18	57
0	47
5	9
0	0
5	2
2	5
0	5
7	0
43	5
0	0
0	0
2	1
5	0
3	0
5	1
18	1
1	1
0	1
0	0
4	7
0	7
2	2
6	1
7	4
2	1
1	2
0	2
18	16
5	16
0	7
7	6
0	0
8	0
2	0
0	0
0	0
0	0
6	0
2	1
0	0
0	0
0	5
0	5
3	5
0	0
1	0
0	0
7	0
23	0
13	0
0	25
1	2
18	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	49
1	48
0	0
346	900
80	106
1	607
0	543
1	293
0	477
0	6
15	6
77	111
0	0
0	0
0	0
0	0
0	0
0	27
0	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	0
38	775
0	837
1	784
0	236
0	144
8	45
0	43
5	9
0	20
0	137
5	816
0	229
0	0
0	12
0	12
0	1
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	6
0	0
0	0
5	78
0	65
0	74
2061	376
41	154
0	41
0	0
0	43
0	2079
87	2079
0	2079
0	262
0	262
0	0
0	0
0	0
0	0
1	118
12	49
4	6
0	119
178	2659
5	48
0	12
0	12
0	12
0	12
0	12
0	12
0	0
0	0
0	0
0	12
14	161
0	189
0	188
0	0
0	0
0	11
188	0
0	10
8	6
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	2
0	0
0	0
